Author	Text	Location	Datetime
bellaali9	RT @SumoRizvi: میاں صاحب کا ایک بھی پیسہ ملک سے باہر نہیں- پرویزرشید البتہ ڈالر، پاونڈ اور ریال کے بارے میں کچھ نہیں کہہ سکتا  #PanamaLeaks…	still unknown	15:52:15 04/04/2016
Aliciaa60779737	RT @DanteForesi: Stolbizer se indignó y fue esta misma mañana a la Justicia ¿Para denunciar a Macri? No, a Cristina #panamapapers  https://…	None	15:05:07 04/04/2016
787c5db52d7348b	RT @Scorazzata: #Panama papers,  ci sta anche #unicredit . Quindi il mio conto non è in rosso, ma bensì in vacanza. @LAntieroe @conigliorad…	None	15:01:45 04/04/2016
MichaelSalamone	RT @_michaelbrooks: The Panama Papers: An Introduction #panamapapers #Syria #finance #warcrimes https://t.co/oSxw7017Jx	None	15:01:41 04/04/2016
JattaNera	RT @Linkiesta: I furbetti della globalizzazione non sono (solo) quelli dei #panamapapers. @fcancellato https://t.co/uLG6kaH0LS https://t.co…	Galatone (Le)	15:04:35 04/04/2016
Dunn_Wachira	RT @the_intercept: The deeper scandal of the Panama Papers is what’s legal, not what’s not. https://t.co/oQsABl3n9S https://t.co/R9kBNjIQH3	None	15:04:37 04/04/2016
josuetuz	RT @DataBaseAR: Cinco años después de la firma, #PanamaPapers revelan que Pipasa se vendió por $12 millones y se firmó en Panamá  https://t…	Costa Rica-Eslovaquia	15:05:48 04/04/2016
derob	RT @tprincedelamour: Le trésorier de #Hollande impliqué dans le scandale du #panamapapers. "Mon ennemi c'est le monde de la finance!" 😂😂😂 h…	None	15:00:06 04/04/2016
keithmallinson1	RT @Oxfam: #PanamaLeaks: Another tax scandal exposed. Poor countries lose $170 billion each year to tax dodging. Take action: https://t.co/…	None	15:02:21 04/04/2016
jameswinfordman	RT @wikileaks: "thanks dad"  PM David Cameron in multi-miilion pound #PanamaPapers inhertence dodge   1 :https://t.co/fO0yaFdMDb 2: https:/…	Winford Manor Hotel Bristol	15:04:40 04/04/2016
valmatteucci	RT @adilmauro: Il caso #PanamaPapers spiegato bene da Rondolino, la prestigiosa firma de @unitaonline.   Che pena. https://t.co/88RmtWEWGC	Abbbrùzz, Itaglia	15:04:44 04/04/2016
ztuppal	RT @EjazChaudhary: Reaction to the Panama Papers: Rest of the world vs Pakistan "When the world is investigating, why not Pakistan? "IK htt…	Toronto, Canada.	15:05:54 04/04/2016
michaeldweiss	RT @KleptocracyInt: #Putin’s #PanamaPapers caper - how #Russia’s elite hides its ill-gotten gains @michaeldweiss @thedailybeast https://t.c…	New York	15:01:28 04/04/2016
Mylla60	RT @logela: Cañete desde Bruselas "que la empresa de su mujer en Panamá lleva inactiva desde antes de ser Comisario" cuando "SOLO" ERA MINI…	España	15:03:28 04/04/2016
jgcasanas	La estrenará en Panamá? En las islas británicas? https://t.co/aafpKKWdXr	Isla de El Hierro.	15:06:02 04/04/2016
IZuleta	SAVONAROLAS: PANAMA PAPERS  Y EL CONTROL DE LA VIRTUD AJENA (LOS IMPRESCINDIBLES DEL LUNES I)... https://t.co/5QGbrOXas7	 here, there and everywhere	15:06:06 04/04/2016
Breaklng__News	#BreakingNews #PanamaPapers Expose World Leaders, Nigerian Politicians In World’s Biggest… https://t.co/ruvcXltPSF #TheTrent #Nigeria	None	15:00:10 04/04/2016
alvkev	Panama leaks spur global investigations: Authorities across the world are spurred into action after a huge lea... https://t.co/dCQWo7GMQq	Keiza's Heart♡	15:00:18 04/04/2016
Print_Mx	RT @EFEnoticias: Hollande afirma que el fisco investigará las revelaciones de los "papeles de Panamá" https://t.co/vXJfV80Q3m	None	15:00:07 04/04/2016
enrique81746991	#PanamaPapers: 6 formas en las que los ricos y poderosos ocultan riquezas y evaden impuestos https://t.co/JmedSi1BoF  Vía bbcmundo	Salinas, Ecuador	15:01:54 04/04/2016
